"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"CPM (custo por 1.000 impressões)","Retorno sobre o investimento em publicidade (ROAS) das compras feitas no site","Valor de conversão das compras diretas no site","Valor de conversão da compra no site","Valor médio de conversão de compra","Valor de conversão de finalizações de compra iniciadas no site","Início dos relatórios","Término dos relatórios"
"[ABO] Imagem - UK [16.02.26]","[ABO] Imagem CJ 2 — UK","[ABO] Imagem AD10",not_delivering,ad,16874,21272,1.26063767,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Compras no site",16,2895.82,180.98875,2026-02-16,Contínuo,136.13294472,1.75522995,5082.83,5082.83,317.676875,7937.07,2026-02-13,2026-03-14
fmv_venda_adv_06.03.26,reino_unido_ig,AD04_Video_Mostruario,inactive,ad,4401,5394,1.22563054,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Compras no site",2,816.33,408.165,2026-03-06,Contínuo,151.3403782,1.38082638,1127.21,1127.21,563.605,1467.65,2026-02-13,2026-03-14
"[ABO] Imagem - UK [22.02.26]","[ABO] Imagem CJ 2 - UK","[ABO] IMAGEM AD3",not_delivering,ad,7182,7626,1.06182122,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Compras no site",5,784.72,156.944,2026-02-22,Contínuo,102.9006032,2.50089204,1962.5,1962.5,392.5,1961.73,2026-02-13,2026-03-14
fmv_venda_adv_09.03.26,reino_unido_ig,AD04_Video_Mostruario,inactive,ad,3268,3699,1.13188494,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,456.71,,2026-03-09,Contínuo,123.468505,,0,,,689.3,2026-02-13,2026-03-14
"[CBO] Vendas - Imagens UK [28.02.26]","Conjunto - Vendas teste  UK [28.02.26]","CRIATIVO CR02",not_delivering,ad,2505,3568,1.4243513,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Compras no site",1,426.02,426.02,2026-02-28,Contínuo,119.40022422,1.14593212,488.19,488.19,488.19,1743.53,2026-02-13,2026-03-14
"[ABO] Videos [ 12.02.26]","[ABO] Videos AD 02","VIDEO AD 01",inactive,ad,4860,5321,1.09485597,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Compras no site",1,370.8,370.8,2026-02-12,Contínuo,69.68614922,1.57869471,585.38,585.38,585.38,,2026-02-13,2026-03-14
"[ABO] Imagem - UK [22.02.26]","[ABO] Imagem CJ 1 - ESPANHA","[ABO] IMAGEM AD14ES",not_delivering,ad,2246,3364,1.49777382,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Compras no site",2,302.6,151.3,2026-02-22,Contínuo,89.95243757,3.5554197,1075.87,1075.87,537.935,2026.74,2026-02-13,2026-03-14
"[ABO] Imagem - UK [22.02.26]","[ABO] Imagem CJ 3 - UK","[ABO] IMAGEM AD12 - PAGINA NOVA",not_delivering,ad,1273,1297,1.0188531,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Compras no site",1,202.53,202.53,2026-02-22,Contínuo,156.15265998,1.9142843,387.7,387.7,387.7,,2026-02-13,2026-03-14
"[CBO] Vendas - Imagens [26.02.26] 02","[CBO] Imagens - Conj 2","[CBO] IMAGEM - AD23",not_delivering,ad,1318,1592,1.20789074,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,167.95,,2026-02-26,Contínuo,105.49623116,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas - Imagens [26.02.26] 01","[CBO] Imagens - Conj 1","[CBO] IMAGEM - AD15",not_delivering,ad,721,873,1.21081831,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Compras no site",1,124.48,124.48,2026-02-26,Contínuo,142.58877434,4.22477506,525.9,525.9,525.9,,2026-02-13,2026-03-14
